Label,PreMoveLocation,PostMoveLocation,MoveYear,HousePurchaseYear,EffectivePurchaseYear,ChildcareMode,SchoolMode,FinalLiquidUSD,FinalNetWorthUSD,MinLiquidUSD,MinNetWorthUSD,EverNegativeLiquid
"Japan -> China, Jingzhou | move-2031 | rent-forever | daycare | private",Japan,"China, Jingzhou",2031.0,,,daycare,private,25405923.385483265,25405923.385483265,561204.96,561204.96,False
Bay Area -> Japan | move-2031 | rent-forever | daycare | public,Bay Area,Japan,2031.0,,,daycare,public,25390947.225548834,25390947.225548834,514448.04000000004,514448.04000000004,False
"China, Jingzhou -> Japan | move-2031 | rent-forever | daycare | private","China, Jingzhou",Japan,2031.0,,,daycare,private,25369909.723781202,25369909.723781202,565646.64,565646.64,False
"China, Jingzhou -> Vietnam | move-2031 | rent-forever | daycare | private","China, Jingzhou",Vietnam,2031.0,,,daycare,private,25330325.5037097,25330325.5037097,565646.64,565646.64,False
"China, Jingzhou | no-move | buy-2034 | daycare | private","China, Jingzhou","China, Jingzhou",,2034.0,2034.0,daycare,private,24885664.51184697,25328744.26411194,565646.64,565646.64,False
Vietnam -> Japan | move-2031 | rent-forever | daycare | private,Vietnam,Japan,2031.0,,,daycare,private,25324322.27550487,25324322.27550487,563434.68,563434.68,False
"China, Jingzhou | no-move | rent-forever | parent | public","China, Jingzhou","China, Jingzhou",,,,parent,public,25312255.503222823,25312255.503222823,565646.64,565646.64,False
"China, Jingzhou -> Midwest (Kansas City) | move-2031 | rent-forever | daycare | public","China, Jingzhou",Midwest (Kansas City),2031.0,,,daycare,public,25298367.03764974,25298367.03764974,565646.64,565646.64,False
Vietnam | no-move | rent-forever | daycare | private,Vietnam,Vietnam,,,,daycare,private,25284738.05543337,25284738.05543337,563434.68,563434.68,False
"Vietnam -> China, Jingzhou | move-2031 | buy-2034 | daycare | private",Vietnam,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,private,24840077.06357063,25283156.8158356,563434.68,563434.68,False
"Spain -> China, Jingzhou | move-2031 | rent-forever | daycare | private",Spain,"China, Jingzhou",2031.0,,,daycare,private,25276642.81090469,25276642.81090469,555067.32,555067.32,False
"China, Jingzhou -> Miami area | move-2031 | buy-2034 | daycare | public","China, Jingzhou",Miami area,2031.0,2034.0,2034.0,daycare,public,24248757.057299003,25267731.269614123,565646.64,565646.64,False
Japan | no-move | rent-forever | daycare | private,Japan,Japan,,,,daycare,private,25267679.9488755,25267679.9488755,561204.96,561204.96,False
"Vietnam -> China, Jingzhou | move-2031 | rent-forever | parent | public",Vietnam,"China, Jingzhou",2031.0,,,parent,public,25266242.274796896,25266242.274796896,563434.68,563434.68,False
"China, Jingzhou -> Vietnam | move-2031 | buy-2034 | daycare | private","China, Jingzhou",Vietnam,2031.0,2034.0,2034.0,daycare,private,24769653.598143246,25256794.148294967,565646.64,565646.64,False
Vietnam -> Midwest (Kansas City) | move-2031 | rent-forever | daycare | public,Vietnam,Midwest (Kansas City),2031.0,,,daycare,public,25252779.589373406,25252779.589373406,563434.68,563434.68,False
"Southern France -> China, Jingzhou | move-2031 | rent-forever | daycare | private",Southern France,"China, Jingzhou",2031.0,,,daycare,private,25252561.881866466,25252561.881866466,554511.36,554511.36,False
"China, Jingzhou -> Spain | move-2031 | buy-2034 | daycare | private","China, Jingzhou",Spain,2031.0,2034.0,2034.0,daycare,private,24516514.044784144,25233213.36383443,565646.64,565646.64,False
Japan -> Vietnam | move-2031 | rent-forever | daycare | private,Japan,Vietnam,2031.0,,,daycare,private,25228095.728804007,25228095.728804007,561204.96,561204.96,False
"Japan -> China, Jingzhou | move-2031 | buy-2034 | daycare | private",Japan,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,private,24783434.736941267,25226514.489206236,561204.96,561204.96,False
Vietnam -> Miami area | move-2031 | buy-2034 | daycare | public,Vietnam,Miami area,2031.0,2034.0,2034.0,daycare,public,24203169.609022666,25222143.821337786,563434.68,563434.68,False
"Japan -> China, Jingzhou | move-2031 | rent-forever | parent | public",Japan,"China, Jingzhou",2031.0,,,parent,public,25219859.602557857,25219859.602557857,561204.96,561204.96,False
Miami area -> Midwest (Kansas City) | move-2031 | buy-2034 | daycare | public,Miami area,Midwest (Kansas City),2031.0,2034.0,2034.0,daycare,public,24698339.9063112,25211893.941954065,525126.24,525126.24,False
Vietnam | no-move | buy-2034 | daycare | private,Vietnam,Vietnam,,2034.0,2034.0,daycare,private,24724066.149866916,25211206.700018637,563434.68,563434.68,False
Miami area -> New Orleans area | move-2031 | buy-2034 | daycare | public,Miami area,New Orleans area,2031.0,2034.0,2034.0,daycare,public,24840088.894478105,25208296.90604184,525126.24,525126.24,False
Japan -> Midwest (Kansas City) | move-2031 | rent-forever | daycare | public,Japan,Midwest (Kansas City),2031.0,,,daycare,public,25196137.262744043,25196137.262744043,561204.96,561204.96,False
Vietnam -> Spain | move-2031 | buy-2034 | daycare | private,Vietnam,Spain,2031.0,2034.0,2034.0,daycare,private,24470926.596507806,25187625.915558092,563434.68,563434.68,False
Miami area -> Spain | move-2031 | rent-forever | daycare | public,Miami area,Spain,2031.0,,,daycare,public,25175173.65892896,25175173.65892896,525126.24,525126.24,False
Miami area -> Southern France | move-2031 | buy-2034 | daycare | public,Miami area,Southern France,2031.0,2034.0,2034.0,daycare,public,24211658.172922928,25174615.102080002,525126.24,525126.24,False
Japan -> Miami area | move-2031 | buy-2034 | daycare | public,Japan,Miami area,2031.0,2034.0,2034.0,daycare,public,24146527.2823933,25165501.49470842,561204.96,561204.96,False
Japan -> Vietnam | move-2031 | buy-2034 | daycare | private,Japan,Vietnam,2031.0,2034.0,2034.0,daycare,private,24667423.823237553,25154564.373389274,561204.96,561204.96,False
Bay Area -> Spain | move-2031 | buy-2034 | daycare | public,Bay Area,Spain,2031.0,2034.0,2034.0,daycare,public,24437580.79975796,25154280.118808247,514448.04000000004,514448.04000000004,False
Bay Area -> Japan | move-2031 | buy-2034 | daycare | public,Bay Area,Japan,2031.0,2034.0,2034.0,daycare,public,24358571.814033166,25145860.382665884,514448.04000000004,514448.04000000004,False
Miami area -> Southern France | move-2031 | rent-forever | daycare | public,Miami area,Southern France,2031.0,,,daycare,public,25145375.781428467,25145375.781428467,525126.24,525126.24,False
"Midwest (Kansas City) -> China, Jingzhou | move-2031 | rent-forever | daycare | private",Midwest (Kansas City),"China, Jingzhou",2031.0,,,daycare,private,25142663.24235053,25142663.24235053,549984.0,549984.0,False
Spain -> Japan | move-2031 | rent-forever | daycare | private,Spain,Japan,2031.0,,,daycare,private,25138399.374296945,25138399.374296945,555067.32,555067.32,False
"China, Jingzhou -> Vietnam | move-2031 | rent-forever | parent | public","China, Jingzhou",Vietnam,2031.0,,,parent,public,25132874.52573381,25132874.52573381,565646.64,565646.64,False
"China, Jingzhou | no-move | buy-2034 | parent | public","China, Jingzhou","China, Jingzhou",,2034.0,2034.0,parent,public,24689766.85468085,25132846.60694582,565646.64,565646.64,False
Japan -> Spain | move-2031 | buy-2034 | daycare | private,Japan,Spain,2031.0,2034.0,2034.0,daycare,private,24414284.26987846,25130983.588928744,561204.96,561204.96,False
"China, Jingzhou -> Japan | move-2031 | buy-2034 | daycare | private","China, Jingzhou",Japan,2031.0,2034.0,2034.0,daycare,private,24337534.31226553,25124822.88089825,565646.64,565646.64,False
Southern France -> Japan | move-2031 | rent-forever | daycare | private,Southern France,Japan,2031.0,,,daycare,private,25114318.445258707,25114318.445258707,554511.36,554511.36,False
Spain -> Vietnam | move-2031 | rent-forever | daycare | private,Spain,Vietnam,2031.0,,,daycare,private,25098815.154225435,25098815.154225435,555067.32,555067.32,False
"Spain -> China, Jingzhou | move-2031 | buy-2034 | daycare | private",Spain,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,private,24654154.162362702,25097233.91462767,555067.32,555067.32,False
"Spain -> China, Jingzhou | move-2031 | rent-forever | parent | public",Spain,"China, Jingzhou",2031.0,,,parent,public,25092184.31398295,25092184.31398295,555067.32,555067.32,False
Vietnam | no-move | rent-forever | parent | public,Vietnam,Vietnam,,,,parent,public,25086861.297307886,25086861.297307886,563434.68,563434.68,False
"Vietnam -> China, Jingzhou | move-2031 | buy-2034 | parent | public",Vietnam,"China, Jingzhou",2031.0,2034.0,2034.0,parent,public,24643753.626254924,25086833.378519893,563434.68,563434.68,False
"Southern France -> China, Jingzhou | move-2031 | rent-forever | parent | public",Southern France,"China, Jingzhou",2031.0,,,parent,public,25080619.22488744,25080619.22488744,554511.36,554511.36,False
Vietnam -> Japan | move-2031 | buy-2034 | daycare | private,Vietnam,Japan,2031.0,2034.0,2034.0,daycare,private,24291946.863989197,25079235.432621915,563434.68,563434.68,False
Southern France -> Vietnam | move-2031 | rent-forever | daycare | private,Southern France,Vietnam,2031.0,,,daycare,private,25074734.22518721,25074734.22518721,554511.36,554511.36,False
"Southern France -> China, Jingzhou | move-2031 | buy-2034 | daycare | private",Southern France,"China, Jingzhou",2031.0,2034.0,2034.0,daycare,private,24630073.23332448,25073152.98558945,554511.36,554511.36,False
Spain -> Midwest (Kansas City) | move-2031 | rent-forever | daycare | public,Spain,Midwest (Kansas City),2031.0,,,daycare,public,25066856.68816548,25066856.68816548,555067.32,555067.32,False
"China, Jingzhou -> Vietnam | move-2031 | buy-2034 | parent | public","China, Jingzhou",Vietnam,2031.0,2034.0,2034.0,parent,public,24572202.620167356,25059343.170319077,565646.64,565646.64,False
Southern France -> Midwest (Kansas City) | move-2031 | rent-forever | daycare | public,Southern France,Midwest (Kansas City),2031.0,,,daycare,public,25042775.759127237,25042775.759127237,554511.36,554511.36,False
Japan -> Vietnam | move-2031 | rent-forever | parent | public,Japan,Vietnam,2031.0,,,parent,public,25040478.625068832,25040478.625068832,561204.96,561204.96,False
"Japan -> China, Jingzhou | move-2031 | buy-2034 | parent | public",Japan,"China, Jingzhou",2031.0,2034.0,2034.0,parent,public,24597370.954015877,25040450.706280846,561204.96,561204.96,False
